emp_id,name,department,city,join_year,salary
96,Emp96,HR,Chennai,2022,52000
97,Emp97,Finance,Hyderabad,2023,74000
98,Emp98,Sales,Bangalore,2018,48000
99,Emp99,IT,Pune,2019,55000
100,Emp100,HR,Bangalore,2020,51000
101,Emp101,Finance,Chennai,2021,69000
102,Emp102,Sales,Hyderabad,2022,50000
103,Emp103,IT,Bangalore,2023,76000
104,Emp104,HR,Pune,2018,48000
105,Emp105,Finance,Bangalore,2019,65000
106,Emp106,Sales,Chennai,2020,47000
107,Emp107,IT,Hyderabad,2021,58000
108,Emp108,HR,Bangalore,2022,52000
109,Emp109,Finance,Pune,2023,74000
110,Emp110,Sales,Bangalore,2018,48000
111,Emp111,IT,Chennai,2019,56000
112,Emp112,HR,Hyderabad,2020,51000
113,Emp113,Finance,Bangalore,2021,68000
114,Emp114,Sales,Pune,2022,50000
115,Emp115,IT,Bangalore,2023,77000
116,Emp116,HR,Chennai,2018,48000
117,Emp117,Finance,Hyderabad,2019,65000
118,Emp118,Sales,Bangalore,2020,49000
119,Emp119,IT,Pune,2021,60000
120,Emp120,HR,Bangalore,2022,53000
121,Emp121,Finance,Chennai,2023,75000
122,Emp122,Sales,Hyderabad,2018,47000
123,Emp123,IT,Bangalore,2019,56000
124,Emp124,HR,Pune,2020,50000
125,Emp125,Finance,Bangalore,2021,69000
126,Emp126,Sales,Chennai,2022,49000
127,Emp127,IT,Hyderabad,2023,78000
128,Emp128,HR,Bangalore,2018,48000
129,Emp129,Finance,Pune,2019,65000
130,Emp130,Sales,Bangalore,2020,51000
131,Emp131,IT,Chennai,2021,59000
132,Emp132,HR,Hyderabad,2022,52000
133,Emp133,Finance,Bangalore,2023,74000
134,Emp134,Sales,Pune,2018,47000
135,Emp135,IT,Bangalore,2019,55000
136,Emp136,HR,Chennai,2020,51000
137,Emp137,Finance,Hyderabad,2021,68000
138,Emp138,Sales,Bangalore,2022,50000
139,Emp139,IT,Pune,2023,77000
140,Emp140,HR,Bangalore,2018,48000
141,Emp141,Finance,Chennai,2019,65000
142,Emp142,Sales,Hyderabad,2020,49000
143,Emp143,IT,Bangalore,2021,60000
144,Emp144,HR,Pune,2022,53000
145,Emp145,Finance,Bangalore,2023,75000
146,Emp146,Sales,Chennai,2018,47000
147,Emp147,IT,Hyderabad,2019,56000
148,Emp148,HR,Bangalore,2020,50000
149,Emp149,Finance,Pune,2021,69000
150,Emp150,Sales,Bangalore,2022,51000
151,Emp151,IT,Chennai,2023,78000
152,Emp152,HR,Hyderabad,2018,48000
153,Emp153,Finance,Bangalore,2019,65000
154,Emp154,Sales,Pune,2020,47000
155,Emp155,IT,Bangalore,2021,59000
156,Emp156,HR,Chennai,2022,52000
157,Emp157,Finance,Hyderabad,2023,74000
158,Emp158,Sales,Bangalore,2018,48000
159,Emp159,IT,Pune,2019,55000
160,Emp160,HR,Bangalore,2020,51000
161,Emp161,Finance,Chennai,2021,69000
162,Emp162,Sales,Hyderabad,2022,50000
163,Emp163,IT,Bangalore,2023,76000
164,Emp164,HR,Pune,2018,48000
165,Emp165,Finance,Bangalore,2019,65000
166,Emp166,Sales,Chennai,2020,47000
167,Emp167,IT,Hyderabad,2021,58000
168,Emp168,HR,Bangalore,2022,52000
169,Emp169,Finance,Pune,2023,74000
170,Emp170,Sales,Bangalore,2018,48000
171,Emp171,IT,Chennai,2019,56000
172,Emp172,HR,Hyderabad,2020,51000
173,Emp173,Finance,Bangalore,2021,68000
174,Emp174,Sales,Pune,2022,50000
175,Emp175,IT,Bangalore,2023,77000
176,Emp176,HR,Chennai,2018,48000
177,Emp177,Finance,Hyderabad,2019,65000
178,Emp178,Sales,Bangalore,2020,49000
179,Emp179,IT,Pune,2021,60000
180,Emp180,HR,Bangalore,2022,53000
181,Emp181,Finance,Chennai,2023,75000
182,Emp182,Sales,Hyderabad,2018,47000
183,Emp183,IT,Bangalore,2019,56000
184,Emp184,HR,Pune,2020,50000
185,Emp185,Finance,Bangalore,2021,69000
186,Emp186,Sales,Chennai,2022,49000
187,Emp187,IT,Hyderabad,2023,78000
188,Emp188,HR,Bangalore,2018,48000
189,Emp189,Finance,Pune,2019,65000
190,Emp190,Sales,Bangalore,2020,51000
191,Emp191,IT,Chennai,2021,59000
192,Emp192,HR,Hyderabad,2022,52000
193,Emp193,Finance,Bangalore,2023,74000
194,Emp194,Sales,Pune,2018,47000
195,Emp195,IT,Bangalore,2019,55000
196,Emp196,HR,Chennai,2020,51000
197,Emp197,Finance,Hyderabad,2021,68000
198,Emp198,Sales,Bangalore,2022,50000
199,Emp199,IT,Pune,2023,77000
200,Emp200,HR,Bangalore,2018,48000
201,Emp201,Finance,Chennai,2019,65000
202,Emp202,Sales,Hyderabad,2020,49000
203,Emp203,IT,Bangalore,2021,60000
204,Emp204,HR,Pune,2022,53000
205,Emp205,Finance,Bangalore,2023,75000
206,Emp206,Sales,Chennai,2018,47000
207,Emp207,IT,Hyderabad,2019,56000
208,Emp208,HR,Bangalore,2020,50000
209,Emp209,Finance,Pune,2021,69000
210,Emp210,Sales,Bangalore,2022,51000
211,Emp211,IT,Chennai,2023,78000
212,Emp212,HR,Hyderabad,2018,48000
213,Emp213,Finance,Bangalore,2019,65000
214,Emp214,Sales,Pune,2020,47000
215,Emp215,IT,Bangalore,2021,59000
216,Emp216,HR,Chennai,2022,52000
217,Emp217,Finance,Hyderabad,2023,74000
218,Emp218,Sales,Bangalore,2018,48000
219,Emp219,IT,Pune,2019,55000
220,Emp220,HR,Bangalore,2020,51000
221,Emp221,Finance,Chennai,2021,69000
222,Emp222,Sales,Hyderabad,2022,50000
223,Emp223,IT,Bangalore,2023,76000
224,Emp224,HR,Pune,2018,48000
225,Emp225,Finance,Bangalore,2019,65000
226,Emp226,Sales,Chennai,2020,47000
227,Emp227,IT,Hyderabad,2021,58000
228,Emp228,HR,Bangalore,2022,52000
229,Emp229,Finance,Pune,2023,74000
230,Emp230,Sales,Bangalore,2018,48000
231,Emp231,IT,Chennai,2019,56000
232,Emp232,HR,Hyderabad,2020,51000
233,Emp233,Finance,Bangalore,2021,68000
234,Emp234,Sales,Pune,2022,50000
235,Emp235,IT,Bangalore,2023,77000
236,Emp236,HR,Chennai,2018,48000
237,Emp237,Finance,Hyderabad,2019,65000
238,Emp238,Sales,Bangalore,2020,49000
239,Emp239,IT,Pune,2021,60000
240,Emp240,HR,Bangalore,2022,53000
241,Emp241,Finance,Chennai,2023,75000
242,Emp242,Sales,Hyderabad,2018,47000
243,Emp243,IT,Bangalore,2019,56000
244,Emp244,HR,Pune,2020,50000
245,Emp245,Finance,Bangalore,2021,69000
246,Emp246,Sales,Chennai,2022,49000
247,Emp247,IT,Hyderabad,2023,78000
248,Emp248,HR,Bangalore,2018,48000
249,Emp249,Finance,Pune,2019,65000
250,Emp250,Sales,Bangalore,2020,51000
251,Emp251,IT,Bangalore,2021,61000
252,Emp252,HR,Hyderabad,2022,54000
253,Emp253,Finance,Chennai,2023,76000
254,Emp254,Sales,Pune,2019,48000
255,Emp255,IT,Bangalore,2020,57000
256,Emp256,HR,Chennai,2021,52000
257,Emp257,Finance,Hyderabad,2022,71000
258,Emp258,Sales,Bangalore,2023,50000
259,Emp259,IT,Pune,2018,55000
260,Emp260,HR,Bangalore,2019,51000
261,Emp261,Finance,Chennai,2020,68000
262,Emp262,Sales,Hyderabad,2021,49000
263,Emp263,IT,Bangalore,2022,62000
264,Emp264,HR,Pune,2023,54000
265,Emp265,Finance,Bangalore,2018,65000
266,Emp266,Sales,Chennai,2019,47000
267,Emp267,IT,Hyderabad,2020,58000
268,Emp268,HR,Bangalore,2021,52000
269,Emp269,Finance,Pune,2022,70000
270,Emp270,Sales,Bangalore,2023,51000
271,Emp271,IT,Chennai,2018,56000
272,Emp272,HR,Hyderabad,2019,50000
273,Emp273,Finance,Bangalore,2020,69000
274,Emp274,Sales,Pune,2021,48000
275,Emp275,IT,Bangalore,2022,63000
276,Emp276,HR,Chennai,2023,55000
277,Emp277,Finance,Hyderabad,2018,66000
278,Emp278,Sales,Bangalore,2019,49000
279,Emp279,IT,Pune,2020,59000
280,Emp280,HR,Bangalore,2021,52000
281,Emp281,Finance,Chennai,2022,71000
282,Emp282,Sales,Hyderabad,2023,50000
283,Emp283,IT,Bangalore,2018,57000
284,Emp284,HR,Pune,2019,51000
285,Emp285,Finance,Bangalore,2020,68000
286,Emp286,Sales,Chennai,2021,47000
287,Emp287,IT,Hyderabad,2022,60000
288,Emp288,HR,Bangalore,2023,54000
289,Emp289,Finance,Pune,2018,65000
290,Emp290,Sales,Bangalore,2019,48000
291,Emp291,IT,Chennai,2020,58000
292,Emp292,HR,Hyderabad,2021,52000
293,Emp293,Finance,Bangalore,2022,70000
294,Emp294,Sales,Pune,2023,51000
295,Emp295,IT,Bangalore,2018,56000
296,Emp296,HR,Chennai,2019,50000
297,Emp297,Finance,Hyderabad,2020,69000
298,Emp298,Sales,Bangalore,2021,49000
299,Emp299,IT,Pune,2022,62000
300,Emp300,HR,Bangalore,2023,54000
301,Emp301,Finance,Chennai,2018,66000
302,Emp302,Sales,Hyderabad,2019,47000
303,Emp303,IT,Bangalore,2020,59000
304,Emp304,HR,Pune,2021,52000
305,Emp305,Finance,Bangalore,2022,71000
306,Emp306,Sales,Chennai,2023,50000
307,Emp307,IT,Hyderabad,2018,57000
308,Emp308,HR,Bangalore,2019,51000
309,Emp309,Finance,Pune,2020,68000
310,Emp310,Sales,Bangalore,2021,48000
311,Emp311,IT,Chennai,2022,60000
312,Emp312,HR,Hyderabad,2023,54000
313,Emp313,Finance,Bangalore,2018,65000
314,Emp314,Sales,Pune,2019,49000
315,Emp315,IT,Bangalore,2020,58000
316,Emp316,HR,Chennai,2021,52000
317,Emp317,Finance,Hyderabad,2022,70000
318,Emp318,Sales,Bangalore,2023,51000
319,Emp319,IT,Pune,2018,56000
320,Emp320,HR,Bangalore,2019,50000
321,Emp321,Finance,Chennai,2020,69000
322,Emp322,Sales,Hyderabad,2021,48000
323,Emp323,IT,Bangalore,2022,62000
324,Emp324,HR,Pune,2023,54000
325,Emp325,Finance,Bangalore,2018,66000
326,Emp326,Sales,Chennai,2019,47000
327,Emp327,IT,Hyderabad,2020,59000
328,Emp328,HR,Bangalore,2021,52000
329,Emp329,Finance,Pune,2022,71000
330,Emp330,Sales,Bangalore,2023,50000
331,Emp331,IT,Chennai,2018,57000
332,Emp332,HR,Hyderabad,2019,51000
333,Emp333,Finance,Bangalore,2020,68000
334,Emp334,Sales,Pune,2021,48000
335,Emp335,IT,Bangalore,2022,60000
336,Emp336,HR,Chennai,2023,54000
337,Emp337,Finance,Hyderabad,2018,65000
338,Emp338,Sales,Bangalore,2019,49000
339,Emp339,IT,Pune,2020,58000
340,Emp340,HR,Bangalore,2021,52000
341,Emp341,Finance,Chennai,2022,70000
342,Emp342,Sales,Hyderabad,2023,51000
343,Emp343,IT,Bangalore,2018,56000
344,Emp344,HR,Pune,2019,50000
345,Emp345,Finance,Bangalore,2020,69000
346,Emp346,Sales,Chennai,2021,47000
347,Emp347,IT,Hyderabad,2022,62000
348,Emp348,HR,Bangalore,2023,54000
349,Emp349,Finance,Pune,2018,66000
350,Emp350,Sales,Bangalore,2019,48000
351,Emp351,IT,Chennai,2020,59000
352,Emp352,HR,Hyderabad,2021,52000
353,Emp353,Finance,Bangalore,2022,71000
354,Emp354,Sales,Pune,2023,50000
355,Emp355,IT,Bangalore,2018,57000
356,Emp356,HR,Chennai,2019,51000
357,Emp357,Finance,Hyderabad,2020,68000
358,Emp358,Sales,Bangalore,2021,49000
359,Emp359,IT,Pune,2022,60000
360,Emp360,HR,Bangalore,2023,54000
361,Emp361,Finance,Chennai,2018,65000
362,Emp362,Sales,Hyderabad,2019,47000
363,Emp363,IT,Bangalore,2020,58000
364,Emp364,HR,Pune,2021,52000
365,Emp365,Finance,Bangalore,2022,70000
366,Emp366,Sales,Chennai,2023,51000
367,Emp367,IT,Hyderabad,2018,56000
368,Emp368,HR,Bangalore,2019,50000
369,Emp369,Finance,Pune,2020,69000
370,Emp370,Sales,Bangalore,2021,48000
371,Emp371,IT,Chennai,2022,62000
372,Emp372,HR,Hyderabad,2023,54000
373,Emp373,Finance,Bangalore,2018,66000
374,Emp374,Sales,Pune,2019,49000
375,Emp375,IT,Bangalore,2020,59000
376,Emp376,HR,Chennai,2021,52000
377,Emp377,Finance,Hyderabad,2022,71000
378,Emp378,Sales,Bangalore,2023,50000
379,Emp379,IT,Pune,2018,56000
380,Emp380,HR,Bangalore,2019,50000
381,Emp381,Finance,Chennai,2020,69000
382,Emp382,Sales,Hyderabad,2021,48000
383,Emp383,IT,Bangalore,2022,62000
384,Emp384,HR,Pune,2023,54000
385,Emp385,Finance,Bangalore,2018,65000
386,Emp386,Sales,Chennai,2019,47000
387,Emp387,IT,Hyderabad,2020,58000
388,Emp388,HR,Bangalore,2021,52000
389,Emp389,Finance,Pune,2022,70000
390,Emp390,Sales,Bangalore,2023,51000
391,Emp391,IT,Chennai,2018,56000
392,Emp392,HR,Hyderabad,2019,50000
393,Emp393,Finance,Bangalore,2020,69000
394,Emp394,Sales,Pune,2021,48000
395,Emp395,IT,Bangalore,2022,60000
396,Emp396,HR,Chennai,2023,54000
397,Emp397,Finance,Hyderabad,2018,65000
398,Emp398,Sales,Bangalore,2019,49000
399,Emp399,IT,Pune,2020,58000
400,Emp400,HR,Bangalore,2021,52000
401,Emp401,Finance,Chennai,2022,70000
402,Emp402,Sales,Hyderabad,2023,51000
403,Emp403,IT,Bangalore,2018,56000
404,Emp404,HR,Pune,2019,50000
405,Emp405,Finance,Bangalore,2020,69000
406,Emp406,Sales,Chennai,2021,47000
407,Emp407,IT,Hyderabad,2022,62000
408,Emp408,HR,Bangalore,2023,54000
409,Emp409,Finance,Pune,2018,66000
410,Emp410,Sales,Bangalore,2019,48000
411,Emp411,IT,Chennai,2020,59000
412,Emp412,HR,Hyderabad,2021,52000
413,Emp413,Finance,Bangalore,2022,71000
414,Emp414,Sales,Pune,2023,50000
415,Emp415,IT,Bangalore,2018,57000
416,Emp416,HR,Chennai,2019,51000
417,Emp417,Finance,Hyderabad,2020,68000
418,Emp418,Sales,Bangalore,2021,49000
419,Emp419,IT,Pune,2022,60000
420,Emp420,HR,Bangalore,2023,54000
421,Emp421,Finance,Chennai,2018,65000
422,Emp422,Sales,Hyderabad,2019,47000
423,Emp423,IT,Bangalore,2020,58000
424,Emp424,HR,Pune,2021,52000
425,Emp425,Finance,Bangalore,2022,70000
426,Emp426,Sales,Chennai,2023,51000
427,Emp427,IT,Hyderabad,2018,56000
428,Emp428,HR,Bangalore,2019,50000
429,Emp429,Finance,Pune,2020,69000
430,Emp430,Sales,Bangalore,2021,48000
431,Emp431,IT,Chennai,2022,62000
432,Emp432,HR,Hyderabad,2023,54000
433,Emp433,Finance,Bangalore,2018,66000
434,Emp434,Sales,Pune,2019,49000
435,Emp435,IT,Bangalore,2020,59000
436,Emp436,HR,Chennai,2021,52000
437,Emp437,Finance,Hyderabad,2022,71000
438,Emp438,Sales,Bangalore,2023,50000
439,Emp439,IT,Pune,2018,56000
440,Emp440,HR,Bangalore,2019,50000
441,Emp441,Finance,Chennai,2020,69000
442,Emp442,Sales,Hyderabad,2021,48000
443,Emp443,IT,Bangalore,2022,62000
444,Emp444,HR,Pune,2023,54000
445,Emp445,Finance,Bangalore,2018,65000
446,Emp446,Sales,Chennai,2019,47000
447,Emp447,IT,Hyderabad,2020,58000
448,Emp448,HR,Bangalore,2021,52000
449,Emp449,Finance,Pune,2022,70000
450,Emp450,Sales,Bangalore,2023,51000
451,Emp451,IT,Chennai,2018,56000
452,Emp452,HR,Hyderabad,2019,50000
453,Emp453,Finance,Bangalore,2020,69000
454,Emp454,Sales,Pune,2021,48000
455,Emp455,IT,Bangalore,2022,60000
456,Emp456,HR,Chennai,2023,54000
457,Emp457,Finance,Hyderabad,2018,65000
458,Emp458,Sales,Bangalore,2019,49000
459,Emp459,IT,Pune,2020,58000
460,Emp460,HR,Bangalore,2021,52000
461,Emp461,Finance,Chennai,2022,70000
462,Emp462,Sales,Hyderabad,2023,51000
463,Emp463,IT,Bangalore,2018,56000
464,Emp464,HR,Pune,2019,50000
465,Emp465,Finance,Bangalore,2020,69000
466,Emp466,Sales,Chennai,2021,47000
467,Emp467,IT,Hyderabad,2022,62000
468,Emp468,HR,Bangalore,2023,54000
469,Emp469,Finance,Pune,2018,66000
470,Emp470,Sales,Bangalore,2019,48000
471,Emp471,IT,Chennai,2020,59000
472,Emp472,HR,Hyderabad,2021,52000
473,Emp473,Finance,Bangalore,2022,71000
474,Emp474,Sales,Pune,2023,50000
475,Emp475,IT,Bangalore,2018,57000
476,Emp476,HR,Chennai,2019,51000
477,Emp477,Finance,Hyderabad,2020,68000
478,Emp478,Sales,Bangalore,2021,49000
479,Emp479,IT,Pune,2022,60000
480,Emp480,HR,Bangalore,2023,54000
481,Emp481,Finance,Chennai,2018,65000
482,Emp482,Sales,Hyderabad,2019,47000
483,Emp483,IT,Bangalore,2020,58000
484,Emp484,HR,Pune,2021,52000
485,Emp485,Finance,Bangalore,2022,70000
486,Emp486,Sales,Chennai,2023,51000
487,Emp487,IT,Hyderabad,2018,56000
488,Emp488,HR,Bangalore,2019,50000
489,Emp489,Finance,Pune,2020,69000
490,Emp490,Sales,Bangalore,2021,48000
491,Emp491,IT,Chennai,2022,62000
492,Emp492,HR,Hyderabad,2023,54000
493,Emp493,Finance,Bangalore,2018,66000
494,Emp494,Sales,Pune,2019,49000
495,Emp495,IT,Bangalore,2020,59000
496,Emp496,HR,Chennai,2021,52000
497,Emp497,Finance,Hyderabad,2022,71000
498,Emp498,Sales,Bangalore,2023,50000
499,Emp499,IT,Pune,2018,56000
500,Emp500,HR,Bangalore,2019,50000
